Afghanistan;1,73;1,99
Ireland;0,32;0,96
Albania;0,99;1,49
Algeria;1,19;1,99
Andorra;1,14;1,49
Angola;1,05;1,99
Antigua and Barbuda;1,04;1,99
Argentine;0,80;1,99
Armenia;0,94;1,49
Aruba;1,01;1,69
Australia;0,37;0,79
Austria;0,33;0,98
Azerbijan;0,96;1,07
Bahamas;0,85;1,99
Bahrain;1,19;1,99
Belarus;0,91;0,91
Bangladesh;1,14;1,14
Barbados;1,10;1,99
Belgium;0,35;0,98
Belize;1,19;1,99
Benin;0,99;2,99
Bermuda;0,80;1,99
Guinea-Bissau;2,99;2,99
Bolivia;1,10;1,99
Bosnia-Herzegovina;1,00;1,49
Botswana;1,03;1,99
Brazil;0,99;1,99
Brunei;0,65;1,99
Bulgaria;0,51;1,05
Bhutan;0,89;1,99
Central Africa;1,10;1,99
Chad;1,19;1,99
Czech.Rep.;0,37;0,83
Chile;0,45;0,99
Denmark;0,33;0,97
United Kingdom;0,25;0,77
Dominica;1,10;1,99
Dominican Republic;1,10;1,99
Cote Divoire;2,17;2,99
Djibouti;1,44;1,99
Egypt;0,99;0,99
Ecuador;1,19;1,99
Eritrea;1,94;2,99
Estonia;0,33;1,06
Ethiopia;2,17;2,99
Faeroe Islands;1,64;2,99
Fiji Islands;2,99;2,99
Philippines;0,80;0,96
Gambia;1,10;1,99
Ghana;0,99;1,99
Gibraltar;1,49;1,49
Greece;0,38;1,30
Grenada;1,10;1,99
Greenland;2,21;1,49
Georgia;0,66;0,94
Guadeloupe;1,44;1,99
Guatemala;0,94;1,99
Guinea;1,19;2,99
Haiti;1,29;1,99
Honduras;1,19;2,99
HongKong;0,44;0,44
India;1,19;1,99
Indonesia;0,85;1,99
Iraq;1,43;2,99
Iran;1,44;1,99
Iceland;0,38;1,19
Spain;0,33;1,07
Italy;0,33;0,99
Israel;0,45;0,85
Jamaica;1,10;1,99
Japan;0,39;0,92
USA;0,31;0,99
Yemen;1,69;2,99
Jordan;1,14;1,99
United Arab Em.;1,10;1,10
Cayman Islands;0,99;1,99
Cambodia;1,69;2,99
Cameroon;1,69;2,99
Canada;0,31;0,99
Qatar;1,69;2,99
Kazakhstan;0,87;0,87
Kenya;1,31;1,99
China;0,44;1,99
Cyprus;1,19;1,35
Kyrgyzstan;0,91;0,99
Colombia;0,70;1,99
Comoros;1,44;2,99
Congo;1,19;1,99
Croatia;0,51;1,07
Cuba;2,99;2,99
Cook Islands;2,99;2,99
Kuwait;0,80;1,99
Laos;2,99;2,99
Latvia;0,54;0,99
Poland;0,34;1,00
Lesotho;1,19;1,99
Lebanon;1,19;2,99
Liberia;1,20;2,99
Libya;1,11;1,99
Liechtenstein;0,54;1,73
Luxembourg;0,38;1,03
Madagascar;1,19;2,99
Macao;0,85;1,99
Macedonia;1,10;1,49
Malaysia;0,70;1,99
Mali;1,10;1,99
Malta;0,90;1,49
Morocco;1,24;1,99
Martinique;1,30;1,99
Mauritius;1,19;2,99
Mauritania;1,05;2,99
Mexico;0,80;1,99
Micronesia;2,17;2,99
Moldova;0,76;0,91
Monaco;0,51;0,96
Mongolia;0,99;2,99
Mozambique;1,19;1,99
Namibia;1,17;2,99
New Zealand;0,40;1,39
Nepal;1,69;2,99
Nigeria;1,29;1,99
Niger;1,12;1,99
Netherlands;0,34;0,99
Norway;0,33;0,87
Pakistan;1,64;1,99
Panama;1,19;1,99
Papua New Guinea;2,99;2,99
Paraguay;1,10;1,99
Peru;0,60;1,31
South Africa;0,50;1,05
Korea (South);0,70;1,99
Portugal;0,38;0,99
France;0,35;0,99
Equatorial Guinea;1,32;2,99
Rwanda;1,19;2,99
Romania;0,76;1,04
Russia;0,48;0,45
Solomon Isles;2,99;2,99
El Salvador;1,10;2,99
San Marino;1,49;1,49
Saudi Arabia;1,10;2,99
Seychelles;1,35;2,99
Senegal;0,94;2,99
Serbia;0,64;1,09
Sierra Leone;1,69;2,99
Singapore;0,40;1,99
Syria;1,44;1,44
Slovakia;0,55;0,94
Slovenia;0,52;1,17
Somalia;2,99;2,99
Sudan;1,35;2,99
Finland;0,35;0,93
Korea (North);1,99;1,99
Sri Lanka;1,19;1,99
St.Helena;2,88;2,99
Sweden;0,31;0,99
Switzerland;0,35;1,37
Tajikistan;0,79;1,49
Thailand;0,80;2,99
Taiwan;0,58;0,58
Tanzania;1,19;2,99
Togo;1,05;2,99
Tonga Islands;2,17;2,99
Trinidad &Tobago;1,29;2,99
Tunisia;1,35;2,99
Turkey;0,60;0,91
Turkmenistan;0,94;1,49
Uganda;0,76;1,99
Ukraine;0,58;0,80
Uruguay;1,83;1,99
Uzbekistan;0,76;1,49
Western Samoa;1,99;1,99
Venezuela;0,65;1,10
Hungary;0,40;1,04
Vietnam;1,18;2,99
Germany;0,31;0,99
Zambia;0,98;1,99
Zimbabwe;1,42;1,99
Lithuania;1,02;1,52
Special paid services;5;6
Guam;0,5;0,81
